participantcode,round,sessioncode,liberal,political_orientation,election_2020,election_2024,risk_attitude,short_long_reward,trust_scientists,environment_worry,environment_responsib,environment_natural_p,environment_changing,environment_mov1,environment_mov2,environment_mov3,environment_mov4,environment_mov5,environment_mov6,environment_threat1,environment_threat2,environment_threat3,environment_threat4,environment_threat5,environment_threat6,environment_beha1,environment_beha2,environment_beha3,environment_beha4,environment_beha5,environment_beha6,environment_uti1,environment_uti2,environment_uti3,environment_uti4,environment_uti5,environment_uti6,environment_growth1,environment_growth2,environment_growth3,environment_growth4,environment_growth5,environment_growth6,legacy_concern1,legacy_concern2,legacy_concern3,legacy_concern4,legacy_concern5,legacy_concern6,gender,age,ethnic_min,education,prole,extraction,extraction_1,extraction_2,extraction_3,cpr1groupgrp_treat_num,cpr1groupgrp_treat_num_1,cpr1groupgrp_treat_num_2,cpr1groupgrp_treat_num_3,cpr1groupgrp_treat_num_4,Ethn_1,Ethn_2,Ethn_3,Ethn_4,Ethn_5,Edu_1,Edu_2,Edu_3,Edu_4,Edu_5,Edu_6,Edu_7,Gender_1,Gender_2,Gender_3
ambq7e2z,1,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,1,0,1,0,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,2,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,2,0,0,1,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,3,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,1,0,1,0,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,4,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,0,1,0,0,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,5,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,1,0,1,0,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,6,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,2,0,0,1,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,7,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,1,0,1,0,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,8,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,2,0,0,1,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,9,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,1,0,1,0,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ambq7e2z,10,04p6pxiy,2,3,1,6,8,9,10,4,8,4,1,2,1,2,4,2,4,4,5,5,3,2,1,2,4,2,3,3,4,1,4,4,4,3,1,4,2,4,3,5,3,4,4,2,4,1,1,Male,24,Ethn Majority,4,0,2,0,0,1,NIT&NGI,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ldai1qwi,1,04p6pxiy,4,5,2,3,9,6,7,3,6,3,2,2,3,3,2,1,3,3,4,3,3,1,2,1,1,5,4,1,4,3,2,1,1,5,3,1,5,1,5,1,5,2,2,1,2,4,4,Male,36,Ethn Minority,5,0,2,0,0,1,NIT&NGI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
ldai1qwi,2,04p6pxiy,4,5,2,3,9,6,7,3,6,3,2,2,3,3,2,1,3,3,4,3,3,1,2,1,1,5,4,1,4,3,2,1,1,5,3,1,5,1,5,1,5,2,2,1,2,4,4,Male,36,Ethn Minority,5,0,1,0,1,0,NIT&NGI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
ldai1qwi,3,04p6pxiy,4,5,2,3,9,6,7,3,6,3,2,2,3,3,2,1,3,3,4,3,3,1,2,1,1,5,4,1,4,3,2,1,1,5,3,1,5,1,5,1,5,2,2,1,2,4,4,Male,36,Ethn Minority,5,0,2,0,0,1,NIT&NGI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
ldai1qwi,4,04p6pxiy,4,5,2,3,9,6,7,3,6,3,2,2,3,3,2,1,3,3,4,3,3,1,2,1,1,5,4,1,4,3,2,1,1,5,3,1,5,1,5,1,5,2,2,1,2,4,4,Male,36,Ethn Minority,5,0,2,0,0,1,NIT&NGI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
ldai1qwi,5,04p6pxiy,4,5,2,3,9,6,7,3,6,3,2,2,3,3,2,1,3,3,4,3,3,1,2,1,1,5,4,1,4,3,2,1,1,5,3,1,5,1,5,1,5,2,2,1,2,4,4,Male,36,Ethn Minority,5,0,1,0,1,0,NIT&NGI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
ldai1qwi,6,04p6pxiy,4,5,2,3,9,6,7,3,6,3,2,2,3,3,2,1,3,3,4,3,3,1,2,1,1,5,4,1,4,3,2,1,1,5,3,1,5,1,5,1,5,2,2,1,2,4,4,Male,36,Ethn Minority,5,0,1,0,1,0,NIT&NGI,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
