participantcode,round,sessioncode,liberal,political_orientation,trust_scientists,environment_worry,environment_responsib,environment_natural_p,gender,age,ethnic_min,education,prole,extraction,extraction_1,extraction_2,extraction_3,cpr1groupgrp_treat_num,cpr1groupgrp_treat_num_1,cpr1groupgrp_treat_num_2,cpr1groupgrp_treat_num_3,cpr1groupgrp_treat_num_4,Ethn_1,Ethn_2,Ethn_3,Ethn_4,Ethn_5,Edu_1,Edu_2,Edu_3,Edu_4,Edu_5,Edu_6,Edu_7,Gender_1,Gender_2,Gender_3,cond_IT_GI,cond_IT_only,cond_GI_only,cond_control,IT_present,GI_present,liberal_z,environment_worry_z,environment_responsib_z,environment_natural_p_z,ideology_group
6omxu7jk,1,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,2,0,0,1,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,2,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,1,0,1,0,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,3,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,2,0,0,1,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,4,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,2,0,0,1,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,5,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,2,0,0,1,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,6,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,2,0,0,1,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,7,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,2,0,0,1,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,8,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,1,0,1,0,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,9,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,1,0,1,0,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
6omxu7jk,10,003df2i3,6.0,5.0,9.0,2.0,2.0,6.0,Female,59.0,Ethn Majority,2.0,2.0,1,0,1,0,IT&GI,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1,1,1.393675834473321,-1.2646022931931922,-1.8301381154911616,2.294356037659497,Conservative
