Hypothesis,Platform,Coefficient,log-odds β,OR,SE,p,Sig,Supported
H1,Study 1 (MTurk),liberal_z,-0.0111,0.989,0.0347,0.7487,n.s.,✗
H1,Study 2 (Prolific),liberal_z,-0.098,0.907,0.0386,0.0111,*,✓
H2,Study 1 (MTurk),IT_present:liberal_z,0.015,1.015,0.0697,0.8293,n.s.,✗
H2,Study 2 (Prolific),IT_present:liberal_z,0.0267,1.027,0.0765,0.7276,n.s.,✗
H3,Study 2 (Prolific),IT_present:legacy_concern_comp_z,-0.063,0.939,0.077,0.413,n.s.,✗
H4a,Study 2 (Prolific),IT_present:env_concern_comp_z,-0.121,0.886,0.0728,0.0966,n.s.,✗
H4b,Study 1 (MTurk),IT_present:environment_worry_z,-0.0241,0.976,0.0795,0.7618,n.s.,✗
H4b,Study 2 (Prolific),IT_present:environment_worry_z,-0.1102,0.896,0.075,0.1416,n.s.,✗
H4c,Study 1 (MTurk),IT_present:environment_responsib_z,-0.037,0.964,0.0748,0.6207,n.s.,✗
H4c,Study 2 (Prolific),IT_present:environment_responsib_z,-0.052,0.949,0.0748,0.4868,n.s.,✗
H4d,Study 1 (MTurk),IT_present:environment_natural_p_z,0.0897,1.094,0.07,0.1999,n.s.,✗
H4d,Study 2 (Prolific),IT_present:environment_natural_p_z,-0.1302,0.878,0.0721,0.0711,n.s.,✗
